"Location.City","Location.State","Location.Country","Data.Shape","Data.Encounter duration","Data.Description excerpt","Location.Coordinates.Latitude ","Location.Coordinates.Longitude ","Dates.Sighted.Year","Dates.Sighted.Month","Date.Sighted.Day","Dates.Sighted.Hour","Dates.Sighted.Minute","Dates.Documented.Year","Dates.Documented.Month","Dates.Documented.Day"
"shelbyville","TN","US","triangle","2700.0","My friend had been saying for the last week that he had seen the object in the sky&#44 but ofcourse knowone believed him. Until last night","35.4833333","-86.4602778","2002","7","16","21","0","2002","7","26"
"signal mountain","TN","US","cigar","3600.0","saw bright orange light making qiuck movements&#44followed us for approximitly five miles&#44 intersepted car causing electrical failure in c","35.1225","-85.3438889","1999","10","17","3","30","1999","10","19"
"signal mountain","TN","US","disk","900.0","I just want some official answers of what might this object be&#44 and what it could not be.","35.1225","-85.3438889","2010","8","25","6","34","2010","8","30"
"signal mountain","TN","US","disk","300.0","ENORMOUS&#44Low Flying&#44SUPER BRIGHT Craft with 4 witnesses","35.1225","-85.3438889","2011","9","1","22","0","2011","10","10"
"signal mountain","TN","US","flash","180.0","Hovering disk object lights up the woods","35.1225","-85.3438889","1991","3","20","20","0","2008","6","12"
"signal mountain","TN","US","light","2700.0","It seemed as if the military or some other sort of corporation was trying to identify this object that was in the sky that night.","35.1225","-85.3438889","2010","6","29","0","37","2010","8","30"
"signal mountain","TN","US","sphere","120.0","Fast moving super bright illuminated sphere that slowed and changed direction","35.1225","-85.3438889","2011","6","6","5","30","2011","6","12"
"smithville","TN","US","circle","300.0","6 miles north of smithville on hwy 56 - just beyond the tree line were 2 round beams of light just hovering for over 5 minutes then the","35.9605556","-85.8141667","1999","11","15","22","15","1999","11","23"
"smithville","TN","US","teardrop","300.0","2 lights were seen just above the tree lines about a mile away from my home. i watched these lights for several minutes then they shot","35.9605556","-85.8141667","1999","11","16","22","15","1999","11","23"
"smyrna","TN","US","circle","480.0","I saw a stationary bright round light&#44 in the bright midday sun for a few minutes (a jet passed between us) eventually it moved on east","35.9827778","-86.5186111","2008","5","21","13","0","2008","6","12"
"smyrna","TN","US","fireball","4.0","A large&#44 spherical object slowly descended through the sky in a diagonal until it disappeared behind the tree line.  It glowed in a bri","35.9827778","-86.5186111","2000","3","9","20","45","2000","3","16"
"smyrna","TN","US","light","10800.0","Bright light in SW sky&#44 colors flashed in full spectrum rapidly&#44 like a police light&#44 but included every color in rainbow&#44 RGB colors","35.9827778","-86.5186111","2003","3","15","20","30","2003","3","21"
"smyrna","TN","US","light","180.0","Stationary light looked like a star or planet moved across the sky and turned into what looked like a cigar shaped craft","35.9827778","-86.5186111","2012","6","24","20","0","2012","7","4"
"smyrna","TN","US","sphere","180.0","Orange/yellow sphere seen in middle tn area.","35.9827778","-86.5186111","2012","12","31","22","30","2013","2","4"
"smyrna","TN","US","unknown","60.0","Yellow Dot&#44 200 mph&#44 Dissapearing after a minute.","35.9827778","-86.5186111","2011","3","28","19","0","2011","4","3"
"sneedville","TN","US","circle","90.0","Large round bright white light moved away and upward for 1-1.5 min before completely disappearing.","36.5297222","-83.2175","2013","10","1","21","40","2013","10","3"
"south fulton","TN","US","circle","30.0","Star moves then disappeared.","36.5008333","-88.8752778","2013","4","23","21","0","2013","5","15"
"sparta","TN","US","circle","180.0","Message: beauty of the flesh creates power  this is aliens addiction and our mystery&#44 why we are alone.","35.9258333","-85.4641667","2002","8","24","12","0","2002","8","28"
"speedwell","TN","US","other","45.0","July 4&#44 2010 13:00- A group of us headed out in a Pickup truck to watch fireworks on a mountain side.22:00-23:00- Fireworks watched","36.4586111","-83.8719444","2010","7","5","0","0","2010","7","10"
"spring city","TN","US","fireball","60.0","Large fireball hovers above ground and then streaks into space at high speed.","35.6919444","-84.8608333","1970","8","20","1","0","2010","2","14"
"spring city","TN","US","fireball","240.0","Bright  red&#44 orange near Watts Bar in Spring City&#44 TN","35.6919444","-84.8608333","2011","6","17","22","0","2011","6","20"
"spring city","TN","US","oval","60.0","6-8 ufo&#39s waiting on one ufo to reach the group.","35.6919444","-84.8608333","2010","2","28","18","50","2010","4","13"
"spring city","TN","US","oval","60.0","Very bright blue/white shiny oval object&#44 no sound &amp; stationary&#44 smooth solid with no windows or other features.","35.6919444","-84.8608333","2013","6","29","6","7","2013","7","3"
"spring hill","TN","US","changing","10800.0","Bright white light in the sky.  Spring Hill TN.  Sometimes changes shapes &amp; Blinking colors Red Green &amp; Yellow.","35.7511111","-86.93","2009","2","8","18","0","2009","3","19"
"spring hill","TN","US","changing","120.0","ONE LEAD - FOUR MIDDLE - TWO BACK. DIAMOND SHAPE FOLLOWING A WATER LIKE WAVE. DARK BROWN TO A ORANGE GOLD COLOR","35.7511111","-86.93","1999","12","19","3","0","2002","12","23"
"spring hill","TN","US","cigar","10.0","Object captured in photos","35.7511111","-86.93","2012","8","31","21","3","2012","9","24"
"spring hill","TN","US","disk","360.0","Three yellowish/white hovering&#44 then quickly disappearing  in a blink/strange shaped air craft","35.7511111","-86.93","2009","12","31","9","30","2010","2","14"
"spring hill","TN","US","disk","300.0","Low flying&#44large object that made no sound&#44 moved very slow and appeared to hover at times.","35.7511111","-86.93","2009","12","10","22","0","2009","12","12"
"spring hill","TN","US","disk","300.0","rhe saucer was round and was glowing in the sun.","35.7511111","-86.93","2008","3","6","13","0","2011","10","10"
"spring hill","TN","US","fireball","300.0","Two orange fireball-type flying craft within 5 minutes of each other.","35.7511111","-86.93","2014","2","1","18","0","2014","2","7"
